stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
punjgran,,Punjgran Stop,,33.6443708,73.1940071,,,0,,,1
khaula,,Khaula Shaheed Model College Stop,,33.6449506,73.1890722,,,0,,,1
aliPur,,Ali Pur Bank Stop,,33.6453738,73.180701,,,0,,,1
hbs,,HBS General Hospital Stop,,33.6451807,73.1724478,,,0,,,1
hbsCollege,,HBS Medical and Dental College Stop,,33.6428058,73.1597068,,,0,,,1
tarlaiSchool,,Tarlai Kalan School Stop,,33.6413512,73.1568797,,,0,,,1
dakKhana,,Dak Khana Stop,,33.6392472,73.1533829,,,0,,,1
poTarlai,,Post Office Tarlai Stop,,33.6396687,73.1500211,,,0,,,1
tarlai,,Tarlai Farms Stop,,33.6376407,73.1431564,,,0,,,1
ghauriGardens,,Ghauri Gardens Stop,,33.6350127,73.1363654,,,0,,,1
burma,,Burma Town Stop,,33.6336522,73.1324935,,,0,,,1
sanam,,Sanam Chowk Stop,,33.6327462,73.1267335,,,0,,,1
rawalGeneral,,Rawal General Hospital Stop,,33.6320858,73.1228161,,,0,,,1
gardenAvenue,,Garden Avenue Stop,,33.6853014,73.1065224,,,0,,,1
margallaTown,,Margalla Town Stop,,33.6814565,73.1016052,,,0,,,1
itpCentre,,ITP Centre Stop,,33.6717877,73.0929128,,,0,,,1
faizabadInterchange,,Faizabad Interchange Stop,,33.6668035,73.0868644,,,0,,,1
pindoraChungi,,Pindora Chungi Stop,,33.6517287,73.0639992,,,0,,,1
katarianChungi,,Katarian Chungi Stop,,33.6486467,73.0579997,,,0,,,1
katarianPull,,Katarian Pull Stop,,33.6458721,73.0524261,,,0,,,1
cdaStop,,"CDA Stop, I10 Stop",,33.6413134,73.0441755,,,0,,,1
pullyStopI10,,Pully Stop I-10 Stop,,33.6378884,73.0376501,,,0,,,1
faujiColony,,Fauji Colony Stop,,33.6325273,73.0274253,,,0,,,1
carriageFactory,,Carriage Factory Stop,,33.6299679,73.0225776,,,0,,,1
westridge,,Westridge Stop,,33.626351,73.0157056,,,0,,,1
ctti,,CTTI Stop,,33.623618,73.0104973,,,0,,,1
socialSecurityHospital,,Social Security Hospital Stop,,33.6198022,73.0031822,,,0,,,1
britishHomes,,British Homes Stop,,33.6182627,73.0002113,,,0,,,1
pirWadahiMor,,Pir Wadahi Morh Stop,,33.61452,72.99188,,,0,,,1
kohinoorMillColony,,Kohinoor Mill Colony Stop,,33.6165601,72.9868175,,,0,,,1
kohinoorMill,,Kohinoor Mill Stop,,33.6190254,72.9808592,,,0,,,1
golraMorhChowk,,Golra Morh Chowk Stop,,33.6246158,72.9707914,,,0,,,1
fgcF11,,Federal Government College F-11 Stop,,33.6790448,72.9959733,,,0,,,1
npfSocietyGate,,NPF Society Gate Stop,,33.7011486,72.9852379,,,0,,,1
multyGate,,Multi Gate Stop,,33.7049679,72.9823732,,,0,,,1
islamabadInternationalHospital,,Islamabad International Hospital (E-11/2) Stop,,33.7024034,72.9674196,,,0,,,1
d12ServiceRoad,,D-12 Service Road Stop,,33.700529,72.9609879,,,0,,,1
iescoD12,,IESCO D-12 Stop,,33.6972169,72.9533507,,,0,,,1
